epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,38679.6,1.17417,0.69614,1.12204,0.71728,0.8244,0.77943,0.50768,1.27339,0.77401,1.18753,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,39097.6,1.16289,0.68566,1.11718,0.71839,0.82289,0.77906,0.50763,1.27288,0.77365,1.18707,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,39516.5,1.15806,0.68049,1.11469,0.71878,0.82325,0.77911,0.50761,1.27206,0.77306,1.18651,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,39935,1.15452,0.67601,1.11322,0.71773,0.82447,0.77879,0.50772,1.27158,0.7726,1.18608,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,40353.7,1.15424,0.6766,1.11361,0.71719,0.82484,0.77889,0.50726,1.2711,0.77221,1.18559,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,40771,1.15192,0.67224,1.11256,0.71738,0.82534,0.77875,0.50747,1.27062,0.77181,1.18541,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,41189.5,1.14817,0.67172,1.1098,0.71802,0.82543,0.77845,0.50765,1.27015,0.77141,1.18502,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,41607.5,1.14847,0.66874,1.11187,0.71877,0.82573,0.77803,0.50743,1.26979,0.77104,1.18459,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,42024.7,1.14597,0.66882,1.10856,0.7198,0.8257,0.77803,0.50746,1.26945,0.77049,1.1843,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,42440.6,1.14704,0.667,1.10957,0.7202,0.82524,0.77803,0.50759,1.26911,0.77016,1.18411,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
